MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
310.07,411.97,1407.89,549.28,1065.4,908.57,275.86,322.92,350.21,314.93,20.38,112.82,133.72,157.7,6257.8,6999.51,7.04,29.82,84.17,57.38,2.66,1.89,42.14,36.33,5.0,15.48,0.87,0.67,5.18,15.65,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242567803
309.9,412.55,1345.53,575.5,1038.46,819.23,275.72,322.53,349.43,315.52,20.61,112.45,133.36,158.01,6192.66,6857.99,7.14,29.61,81.97,57.84,2.67,1.88,42.07,36.37,5.04,15.33,0.87,0.67,5.23,15.39,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242572049
309.01,412.17,1294.93,590.81,1022.67,736.08,276.18,323.16,350.39,315.17,20.66,112.53,133.36,158.46,6064.95,6607.51,7.03,29.86,81.49,58.73,2.68,1.9,42.12,36.43,5.01,15.37,0.87,0.67,5.22,15.59,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242576294
311.84,413.7,1314.45,613.71,1002.12,679.68,277.54,324.1,351.41,316.62,20.98,114.69,134.45,158.84,6114.55,6593.1,7.2,29.93,80.8,58.16,2.71,1.92,42.15,36.46,5.1,15.48,0.87,0.67,5.28,15.56,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242580540
307.13,410.29,1101.37,567.98,931.56,582.58,271.93,316.74,346.59,313.1,19.83,110.21,131.69,154.85,5774.18,6169.0,6.9,29.02,75.97,57.43,2.6,1.83,42.02,36.32,4.88,15.16,0.87,0.67,5.09,15.34,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242584784
302.73,410.34,790.64,564.42,861.33,484.46,269.57,313.48,346.31,310.8,18.51,111.12,130.36,153.25,5599.12,5889.83,6.52,29.27,65.98,57.64,2.58,1.82,41.89,36.27,4.71,15.28,0.86,0.67,4.91,15.29,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242589025
302.47,408.42,666.96,606.59,818.86,440.96,272.93,318.32,348.74,313.84,18.67,108.63,132.72,156.39,5730.73,5864.99,6.58,28.93,61.95,59.38,2.69,1.89,41.98,36.37,4.76,15.02,0.87,0.67,4.95,15.14,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242593268
303.08,408.25,691.4,633.55,815.28,419.21,274.71,319.07,349.84,314.07,18.85,107.96,132.96,156.22,5679.85,5833.16,6.57,28.38,62.35,59.34,2.69,1.9,42.03,36.37,4.73,14.95,0.87,0.67,4.95,15.05,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242597510
300.78,407.97,607.06,633.81,778.1,376.94,273.08,316.5,348.01,312.43,18.35,107.99,131.9,154.29,5595.15,5740.61,6.38,28.16,58.4,58.68,2.63,1.85,41.88,36.24,4.62,14.88,0.86,0.67,4.87,15.01,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242601753
299.76,406.03,580.46,647.81,746.45,357.23,272.31,316.52,349.48,314.11,17.84,107.81,131.95,154.69,5518.65,5586.81,6.36,29.07,58.39,61.29,2.69,1.92,41.95,36.36,4.62,14.97,0.86,0.67,4.83,14.99,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242605996
294.91,358.89,603.04,535.59,695.23,323.1,265.28,306.84,343.81,308.78,17.16,72.22,127.92,149.71,5242.74,5280.72,6.11,19.35,58.65,56.42,2.55,1.78,41.55,36.08,4.45,10.75,0.85,0.66,4.64,10.69,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242614482
288.52,300.07,420.51,452.74,619.88,260.25,252.8,297.34,340.07,300.9,15.08,30.25,124.13,141.72,4743.84,4876.15,5.5,8.2,52.63,50.24,2.32,1.7,41.21,35.54,4.09,5.74,0.84,0.64,4.33,5.47,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242618719
286.96,302.15,373.73,430.24,566.18,241.05,249.6,289.27,334.92,298.73,15.12,28.75,120.56,140.17,4741.84,4770.47,5.46,8.56,48.07,49.78,2.27,1.6,40.91,35.47,4.09,5.65,0.83,0.64,4.32,5.61,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242622955
285.63,322.07,349.85,406.68,526.75,222.26,248.11,286.6,334.06,298.19,15.09,41.23,119.88,138.77,4516.52,4506.34,5.52,11.44,46.55,50.48,2.26,1.58,40.79,35.37,4.11,7.4,0.82,0.64,4.29,6.94,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242627193
290.15,294.6,464.78,402.99,565.88,247.72,250.76,289.56,336.14,300.26,15.86,30.87,120.22,140.48,4830.89,4850.58,5.7,8.63,52.51,49.05,2.3,1.61,40.88,35.48,4.27,5.69,0.82,0.64,4.43,5.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242631429
299.33,293.75,747.47,398.27,642.77,302.21,262.0,305.43,347.15,310.84,17.85,36.57,126.38,149.07,5289.1,5318.22,6.34,10.69,63.64,50.19,2.58,1.87,41.19,35.9,4.6,6.83,0.84,0.65,4.72,6.97,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242635669
294.17,254.49,651.87,366.28,596.82,271.38,251.29,294.39,340.25,304.41,16.6,17.24,122.55,142.55,4802.21,4816.29,5.94,6.19,61.14,47.38,2.36,1.69,40.82,35.51,4.36,4.38,0.82,0.64,4.58,4.54,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242639906
299.82,397.51,857.8,384.0,648.53,294.77,261.5,306.03,347.97,311.46,18.16,98.99,126.23,148.85,5248.63,5353.72,6.45,26.52,68.14,49.13,2.57,1.9,41.09,35.86,4.66,14.13,0.83,0.65,4.85,14.21,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242644149
301.31,397.54,827.74,408.62,636.35,287.28,257.87,302.54,346.09,309.2,18.01,98.96,124.89,147.44,5264.96,5322.83,6.32,26.74,67.37,48.8,2.53,1.83,41.04,35.78,4.61,14.18,0.83,0.65,4.8,14.28,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242648391
297.03,390.09,797.33,383.16,617.15,269.51,256.57,299.26,343.26,307.58,17.55,92.45,123.65,145.22,5093.49,5099.61,6.22,25.0,65.59,48.78,2.46,1.76,40.96,35.71,4.55,13.37,0.83,0.65,4.77,13.52,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242652632
295.23,330.2,715.28,357.51,584.87,247.81,251.11,292.62,339.71,303.98,16.92,45.97,121.69,142.63,4834.0,4860.17,5.98,12.55,63.66,46.12,2.36,1.7,40.88,35.52,4.41,8.07,0.82,0.64,4.64,7.54,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242656871
296.07,391.83,760.62,367.38,585.66,247.91,254.9,294.68,341.53,305.83,17.23,88.8,122.82,143.41,5023.94,5121.56,6.12,24.42,64.79,47.53,2.41,1.74,40.94,35.63,4.46,13.02,0.82,0.64,4.68,13.33,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694242661112
