MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
305.73,246.86,470.0,536.59,408.12,163.37,250.34,298.28,352.97,309.24,19.6,17.07,120.5,145.08,4842.3,4567.15,6.75,6.24,53.09,56.53,2.65,1.83,40.73,35.71,4.86,4.55,0.82,0.65,5.08,4.77,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241330073
311.48,250.49,614.77,568.04,482.1,194.99,259.44,307.01,357.82,315.32,20.66,18.24,125.45,148.94,5042.04,4781.43,7.12,6.51,59.47,57.17,2.85,1.96,41.0,35.99,5.01,4.73,0.83,0.66,5.26,4.97,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241334311
311.88,252.43,670.06,545.76,505.89,209.26,259.76,306.53,356.25,316.66,21.06,18.54,125.05,149.58,5024.49,4847.1,7.24,6.63,61.57,56.17,2.91,1.96,40.99,36.02,5.11,4.79,0.83,0.66,5.3,5.0,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241338550
311.44,240.91,730.03,545.75,541.03,221.4,261.84,307.89,356.75,317.45,21.0,15.75,126.4,149.96,5128.36,4964.23,7.17,5.63,63.91,56.54,2.97,1.98,41.03,36.04,5.11,4.27,0.83,0.66,5.29,4.43,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241342788
308.0,230.91,725.29,520.22,545.88,221.99,260.45,304.28,355.18,317.25,20.08,13.08,125.72,149.45,5113.85,4977.21,6.88,4.82,63.29,54.03,2.97,1.92,40.98,35.95,4.96,3.74,0.83,0.66,5.12,3.95,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241347026
308.58,237.12,736.12,497.06,545.36,220.14,257.12,303.14,354.07,317.17,20.04,14.2,124.18,147.97,5067.63,4900.34,7.03,5.21,63.42,54.63,2.97,1.91,40.95,35.98,4.95,3.95,0.83,0.66,5.21,4.12,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241351264
308.44,243.88,727.24,489.01,541.99,218.8,259.17,303.92,354.12,316.89,20.21,16.81,124.87,147.51,5043.61,4910.47,6.99,6.13,63.54,53.73,2.98,1.92,40.87,35.96,4.97,4.53,0.82,0.66,5.18,4.74,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241355503
306.95,232.13,619.11,485.41,538.43,199.45,252.31,300.8,352.41,310.99,18.3,13.78,125.66,141.7,4774.06,4697.22,6.47,5.05,62.73,49.92,2.77,1.87,40.85,35.59,4.72,3.87,0.82,0.65,5.0,4.02,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241359740
303.81,233.2,684.61,443.73,517.35,205.3,259.33,296.0,350.11,314.35,19.48,13.23,124.57,145.12,4816.82,4635.59,6.75,4.86,60.79,52.24,2.88,1.83,40.66,35.8,4.83,3.76,0.82,0.65,5.02,3.97,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241363978
306.38,233.03,643.85,424.2,506.8,195.4,257.45,295.76,349.16,312.98,19.93,13.26,123.96,144.43,4750.99,4595.7,6.86,4.92,60.17,51.25,2.88,1.81,40.63,35.78,4.86,3.76,0.82,0.65,5.1,3.94,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241368215
310.38,227.3,623.32,433.19,498.44,188.11,256.13,293.55,348.46,312.0,20.59,12.17,123.81,143.29,4742.29,4582.8,7.04,4.58,59.29,50.98,2.85,1.79,40.59,35.76,5.01,3.56,0.81,0.65,5.23,3.74,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241372453
307.27,213.33,575.65,405.85,476.09,175.14,254.0,289.47,345.67,310.25,19.9,9.6,121.86,140.58,4633.92,4528.02,6.94,3.76,57.68,50.86,2.74,1.74,40.44,35.59,4.91,3.05,0.81,0.64,5.09,3.23,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241376688
307.06,221.0,555.97,423.25,474.86,170.51,253.19,288.84,345.31,309.55,20.0,12.15,121.72,140.77,4607.8,4471.06,6.86,4.54,57.1,49.87,2.76,1.74,40.46,35.63,4.9,3.65,0.81,0.64,5.12,3.92,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241380925
308.76,192.39,492.12,350.73,432.5,154.77,246.49,281.36,341.89,305.76,20.15,6.52,118.64,136.71,4349.74,4233.94,7.02,2.7,53.93,46.64,2.62,1.66,40.17,35.32,4.96,2.36,0.8,0.64,5.18,2.49,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241385162
307.05,185.12,520.86,377.92,449.5,156.82,251.03,286.09,344.08,309.51,20.35,5.77,120.93,139.28,4516.85,4325.99,7.04,2.42,55.65,49.62,2.71,1.71,40.38,35.54,4.98,2.17,0.81,0.64,5.13,2.31,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241389400
298.88,237.78,469.67,328.4,402.51,141.74,241.69,278.74,340.01,303.77,17.32,15.63,117.46,134.05,4263.83,4150.4,6.13,5.64,52.61,43.77,2.55,1.64,40.05,35.11,4.52,4.3,0.79,0.63,4.79,4.47,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241397873
305.72,243.89,500.29,405.76,439.46,147.1,249.67,288.53,346.65,308.7,19.18,16.73,120.97,139.41,4509.57,4243.56,6.68,6.15,55.41,48.6,2.75,1.74,40.28,35.55,4.81,4.42,0.8,0.64,5.03,4.73,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241402111
303.99,242.54,528.65,409.1,434.43,147.97,252.23,288.09,346.86,310.09,19.12,15.96,121.17,140.49,4387.08,4139.7,6.67,6.03,55.89,49.72,2.76,1.77,40.39,35.58,4.77,4.37,0.8,0.64,5.03,4.59,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241406348
302.99,241.9,519.4,399.5,429.37,146.09,251.79,287.89,346.5,309.9,18.68,16.82,120.97,139.62,4392.78,4083.57,6.55,5.9,55.45,49.04,2.77,1.76,40.41,35.61,4.72,4.5,0.81,0.64,4.95,4.61,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241410585
301.87,242.65,515.89,373.67,417.55,143.8,252.3,287.67,345.22,309.98,18.57,15.87,121.03,139.54,4451.48,4238.5,6.6,5.89,55.27,49.09,2.75,1.75,40.36,35.56,4.73,4.33,0.81,0.64,4.91,4.61,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241414823
298.35,225.8,491.21,344.63,401.98,138.14,248.43,284.36,343.71,307.69,17.99,13.29,120.43,137.36,4156.58,3968.41,6.31,5.2,54.0,47.24,2.7,1.72,40.34,35.45,4.56,3.99,0.81,0.64,4.82,4.21,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241419060
297.79,230.56,449.84,330.17,380.1,130.76,245.75,280.94,340.71,306.14,17.76,14.41,118.36,136.11,4188.63,3946.56,6.26,5.17,51.8,45.68,2.64,1.68,40.08,35.33,4.56,4.19,0.8,0.64,4.72,4.34,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241423297
299.46,211.71,491.15,378.15,403.05,138.05,250.7,287.9,346.86,309.28,17.84,10.85,120.45,139.32,4550.16,4419.28,6.31,4.27,54.25,47.66,2.75,1.76,40.32,35.52,4.58,3.37,0.8,0.64,4.83,3.72,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241427534
298.65,223.56,447.25,385.95,397.67,128.18,246.05,285.87,345.22,306.57,17.15,13.37,120.14,136.25,4257.37,3995.81,6.13,5.12,53.56,46.3,2.69,1.75,40.3,35.45,4.57,3.92,0.8,0.64,4.83,4.02,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241431771
302.47,213.23,452.74,405.6,405.27,130.09,249.36,290.33,348.55,309.24,17.81,11.68,121.82,138.82,4474.97,4188.26,6.31,4.65,55.08,47.85,2.76,1.81,40.32,35.56,4.65,3.67,0.8,0.65,4.9,3.87,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241436008
299.24,234.12,473.22,364.13,376.55,130.58,248.79,284.16,344.26,308.5,17.83,13.91,120.29,138.76,4318.57,4051.98,6.27,5.53,53.59,47.29,2.73,1.76,40.25,35.51,4.57,4.07,0.8,0.64,4.81,4.39,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241440245
299.63,236.21,496.87,364.62,383.76,133.33,249.57,288.25,347.09,308.9,17.92,15.38,122.39,138.45,4372.78,4113.06,6.32,5.48,54.71,46.54,2.77,1.8,40.47,35.53,4.59,4.33,0.81,0.64,4.88,4.44,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241444482
302.22,243.0,475.02,388.34,380.4,128.11,249.42,286.02,344.99,308.97,18.54,15.87,120.41,138.02,4391.35,4129.04,6.54,5.94,53.04,48.44,2.75,1.77,40.39,35.55,4.72,4.32,0.8,0.64,4.92,4.65,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241448720
306.17,234.39,482.78,395.97,379.15,131.75,251.21,286.24,346.68,310.13,19.26,15.12,120.77,139.03,4308.55,3956.85,6.77,5.7,53.58,49.13,2.79,1.79,40.47,35.65,4.85,4.38,0.81,0.65,5.05,4.51,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241452957
308.77,245.88,538.78,423.35,399.92,137.58,256.49,294.24,350.26,314.62,20.12,18.24,123.24,142.47,4546.55,4238.97,7.0,6.15,55.84,51.74,2.78,1.88,40.64,35.82,4.96,4.79,0.82,0.65,5.17,4.88,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241457195
309.45,250.26,513.54,431.13,390.92,132.63,254.83,292.18,350.53,312.63,20.66,17.39,123.52,142.12,4574.71,4288.36,6.98,6.46,54.95,50.69,2.51,1.85,40.62,35.84,4.98,4.59,0.82,0.65,5.16,4.92,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241461432
306.32,185.46,438.0,356.7,346.33,118.99,247.79,281.49,344.45,308.06,19.6,5.61,119.12,137.16,4453.03,4212.79,6.79,2.47,51.24,47.71,2.4,1.74,40.16,35.53,4.91,2.12,0.8,0.64,5.07,2.27,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241469905
311.97,173.72,489.0,485.88,396.61,126.35,254.01,295.25,352.46,311.97,20.46,4.65,124.75,141.12,4517.61,4181.69,6.9,2.03,56.26,50.33,2.55,1.91,40.81,35.79,5.04,1.9,0.82,0.65,5.28,2.02,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241474142
307.28,175.38,496.38,416.72,369.55,127.0,254.41,288.72,349.48,312.05,20.03,4.6,123.2,141.13,4639.34,4378.28,6.92,1.98,53.93,51.49,2.53,1.82,40.61,35.76,4.93,1.86,0.81,0.65,5.13,2.0,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241478378
306.22,172.58,470.39,420.05,356.98,123.28,253.31,286.83,346.73,311.89,19.85,4.21,121.53,139.95,4407.8,4114.6,6.85,2.04,52.9,50.62,2.5,1.8,40.5,35.75,4.88,1.77,0.81,0.65,5.07,1.89,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241482612
304.51,171.2,457.62,362.6,348.92,120.71,251.5,286.11,348.15,310.99,19.27,4.2,120.68,139.24,4400.91,4059.31,6.74,1.88,52.28,47.55,2.51,1.81,40.39,35.67,4.82,1.78,0.81,0.64,5.03,1.91,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241486847
303.44,173.05,427.55,373.99,343.9,114.99,248.33,286.89,347.56,309.59,18.78,4.45,120.66,137.59,4390.06,4057.58,6.53,1.96,52.02,47.5,2.46,1.8,40.42,35.59,4.73,1.85,0.8,0.65,4.97,1.95,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241491082
303.6,172.07,471.4,388.52,347.51,119.62,251.81,289.44,350.26,312.2,18.82,4.32,121.15,139.7,4656.29,4315.31,6.55,1.9,52.68,47.61,2.51,1.85,40.43,35.72,4.76,1.8,0.81,0.65,4.96,1.92,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241495317
314.46,174.74,555.13,594.7,400.71,131.89,263.84,303.14,357.77,318.31,21.2,4.8,128.95,145.81,4703.23,4336.03,7.32,2.1,57.9,57.81,2.72,2.02,41.11,36.22,5.11,1.95,0.83,0.66,5.31,2.1,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241499554
308.77,186.75,480.89,512.84,364.98,121.56,256.34,290.85,350.4,314.04,20.03,5.85,124.51,141.72,4522.13,4156.06,7.02,2.48,53.4,54.5,2.6,1.85,40.78,35.96,4.99,2.21,0.82,0.66,5.16,2.36,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694241503792
