MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
277.99,409.12,68.7,84.06,104.32,86.94,158.04,156.64,299.52,301.02,8.06,7.8,73.67,73.68,1834.86,2121.28,3.2,3.13,23.71,25.24,1.53,0.82,38.42,34.77,2.68,2.69,0.74,0.62,2.86,2.8,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162695604
267.23,392.71,56.11,50.79,86.64,73.69,148.53,148.35,293.72,291.13,6.73,6.79,69.81,68.86,1825.47,2026.39,2.85,2.68,20.87,21.86,1.41,0.71,37.73,34.25,2.43,2.4,0.72,0.6,2.58,2.52,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162699832
264.64,384.39,49.63,48.25,83.51,68.69,146.89,145.35,290.09,288.12,6.68,6.39,68.6,67.69,1743.83,1849.34,2.76,2.62,20.09,20.94,1.35,0.7,37.56,34.12,2.41,2.34,0.71,0.6,2.55,2.42,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162704059
278.5,413.45,66.48,91.21,101.84,81.82,158.6,156.39,299.9,300.64,8.06,8.14,73.96,73.49,1731.19,1948.81,3.22,3.25,23.21,26.19,1.51,0.8,38.45,34.85,2.7,2.75,0.74,0.62,2.89,2.89,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162708286
284.04,411.41,88.2,80.88,111.51,93.99,164.94,166.37,309.25,308.72,8.7,8.03,76.85,77.95,2020.53,2269.57,3.43,3.2,26.84,25.54,1.67,0.92,38.53,34.97,2.85,2.7,0.74,0.62,3.05,2.88,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162716739
287.59,413.97,94.74,96.08,116.05,98.25,167.45,169.46,311.04,311.5,9.05,8.09,78.27,79.95,1973.92,2180.53,3.58,3.24,27.12,26.79,1.71,0.94,38.47,34.85,2.93,2.76,0.74,0.62,3.1,2.91,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162720965
287.33,413.39,100.65,92.91,117.17,103.86,167.74,170.06,311.82,312.79,9.04,8.13,78.83,80.05,1933.68,2104.6,3.55,3.27,27.54,26.36,1.7,0.95,38.16,34.6,2.93,2.74,0.73,0.61,3.12,2.88,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162725194
287.11,412.56,101.79,92.95,118.18,106.08,167.41,171.37,312.3,313.0,9.0,8.13,78.47,80.65,1988.84,2253.41,3.55,3.24,27.63,26.93,1.7,0.94,37.83,34.3,2.92,2.72,0.72,0.6,3.1,2.87,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162729421
286.8,410.58,102.85,90.42,119.11,108.81,167.24,171.27,311.39,314.08,8.93,7.97,78.99,80.83,2079.87,2382.2,3.53,3.25,27.8,26.42,1.69,0.94,37.57,34.01,2.92,2.71,0.71,0.6,3.09,2.86,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162733649
283.11,409.03,100.61,81.99,119.45,108.19,164.86,171.11,312.56,311.33,8.62,7.85,78.28,79.78,2055.75,2316.03,3.48,3.13,27.1,25.92,1.67,0.9,37.14,33.75,2.9,2.61,0.7,0.58,3.02,2.85,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162737877
283.68,407.44,98.51,80.78,118.47,108.59,165.56,171.77,311.47,311.89,8.68,7.73,77.99,80.05,1977.23,2168.24,3.46,3.08,27.26,25.82,1.64,0.9,36.88,33.48,2.87,2.61,0.69,0.58,3.01,2.81,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162742104
286.04,403.91,97.04,89.23,119.77,108.12,166.2,171.21,309.95,313.09,8.9,7.42,77.83,80.85,1938.08,2118.75,3.53,3.05,27.39,25.83,1.62,0.9,36.75,33.13,2.85,2.66,0.68,0.57,3.06,2.76,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162746331
286.0,406.75,98.28,90.06,120.71,108.3,166.62,171.62,310.82,312.83,8.9,7.69,77.79,80.97,1964.76,2169.2,3.53,3.06,27.29,26.22,1.62,0.9,36.53,32.96,2.87,2.67,0.67,0.56,3.08,2.81,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162750558
284.6,404.72,97.25,82.78,117.72,107.54,165.78,171.12,309.99,310.86,8.78,7.58,77.87,80.52,2002.09,2247.13,3.45,3.06,27.22,25.37,1.58,0.87,36.09,32.67,2.87,2.62,0.66,0.55,3.03,2.77,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694162754784
