MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
320.58,452.71,232.02,464.82,190.46,101.51,260.33,264.42,388.32,344.01,13.66,11.49,125.6,127.58,3545.45,3421.77,5.01,4.32,39.17,52.98,2.2,1.36,39.63,34.07,3.84,3.42,0.78,0.6,4.03,3.6,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694172987311
320.39,451.22,231.33,457.65,187.07,100.7,259.39,263.82,389.94,344.71,13.59,11.33,124.76,127.61,3551.77,3411.23,5.05,4.28,39.19,52.63,2.22,1.37,39.67,34.12,3.84,3.37,0.78,0.6,4.02,3.55,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694172991545
313.57,454.87,217.27,409.93,164.6,106.92,255.21,253.09,375.87,341.88,13.3,10.93,120.25,124.23,3467.85,3371.49,4.88,4.27,36.79,51.82,2.16,1.31,39.27,33.9,3.76,3.37,0.77,0.59,3.93,3.52,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173008484
314.81,449.06,200.12,427.21,172.28,114.61,250.63,252.67,381.72,339.52,12.59,11.33,120.91,121.61,3333.85,3356.55,4.72,4.26,37.01,49.91,2.1,1.28,39.05,33.55,3.66,3.38,0.76,0.58,3.83,3.55,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173012719
313.84,448.99,209.37,416.54,174.66,125.48,251.03,252.68,381.58,340.41,12.58,11.1,120.58,121.85,3379.72,3405.93,4.73,4.24,37.36,50.24,2.09,1.28,38.5,33.23,3.65,3.36,0.74,0.57,3.83,3.54,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173016953
313.79,443.03,216.83,428.12,183.37,134.24,250.96,253.07,377.33,341.38,12.56,10.65,121.0,122.58,3387.18,3446.94,4.68,4.12,37.8,50.36,2.09,1.28,37.96,32.82,3.64,3.27,0.72,0.56,3.81,3.44,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173021186
313.19,445.91,219.54,416.21,189.59,139.69,252.01,253.27,375.96,342.58,12.74,10.77,120.71,122.75,3399.36,3457.5,4.7,4.18,38.42,50.45,2.1,1.28,37.4,32.57,3.68,3.29,0.7,0.55,3.81,3.47,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173025420
313.42,446.03,223.69,410.78,195.82,140.57,251.04,254.33,379.11,342.89,12.49,10.88,121.0,122.62,3380.4,3463.91,4.64,4.13,38.5,50.03,2.09,1.27,36.92,32.26,3.62,3.31,0.69,0.54,3.81,3.49,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173029654
312.5,446.71,226.16,406.93,200.9,142.0,251.03,254.52,380.18,343.38,12.51,10.81,120.73,122.89,3402.42,3468.79,4.67,4.16,38.78,50.07,2.1,1.26,36.5,32.07,3.63,3.3,0.67,0.53,3.82,3.48,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173033887
313.28,446.77,231.12,412.43,205.06,142.28,251.21,254.72,383.04,344.05,12.53,10.88,120.85,123.33,3456.45,3508.67,4.68,4.13,39.08,50.27,2.1,1.25,36.17,31.94,3.62,3.3,0.66,0.53,3.81,3.48,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173038120
